"","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_conditions","Attendance","H_time_Home_Goals","H_time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials","Winner","Winner_Goals"
"730",2010,"18 Jun 2010 - 16:00","Group C","Ellis Park Stadium","Johannesburg","Slovenia",2,2,"USA",NA,45573,2,0,"Koman COULIBALY (MLI)","ACHIK Redouane (MAR)","MANUEL CANDIDO Inacio (ANG)",249722,300061463,"SVN","USA","Tie",2
"731",2010,"18 Jun 2010 - 20:30","Group C","Cape Town Stadium","Cape Town","England",0,0,"Algeria",NA,64100,0,0,"Ravshan IRMATOV (UZB)","ILYASOV Rafael (UZB)","KOCHKAROV Bakhadyr (KGZ)",249722,300061464,"ENG","ALG","Tie",0
"732",2010,"19 Jun 2010 - 13:30","Group E","Durban Stadium","Durban","Netherlands",1,0,"Japan",NA,62010,0,0,"BALDASSI Hector (ARG)","CASAS Ricardo (ARG)","MAIDANA Hernan (ARG)",249722,300111117,"NED","JPN","NED",1
"733",2010,"19 Jun 2010 - 16:00","Group D","Royal Bafokeng Sports Palace","Phokeng","Ghana",1,1,"Australia",NA,34812,1,1,"ROSETTI Roberto (ITA)","CALCAGNO Paolo (ITA)","AYROLDI Stefano (ITA)",249722,300061469,"GHA","AUS","Tie",1
"734",2010,"19 Jun 2010 - 20:30","Group E","Loftus Versfeld Stadium","Tshwane/Pretoria","Cameroon",1,2,"Denmark",NA,38074,1,1,"LARRIONDA Jorge (URU)","FANDINO Pablo (URU)","ESPINOSA Mauricio (URU)",249722,300061475,"CMR","DEN","DEN",2
"735",2010,"20 Jun 2010 - 13:30","Group F","Free State Stadium","Mangaung/Bloemfontein","Slovakia",0,2,"Paraguay",NA,26643,0,1,"MAILLET Eddy (SEY)","MENKOUANDE Evarist (CMR)","HASSANI Bechir (TUN)",249722,300061481,"SVK","PAR","PAR",2
"736",2010,"20 Jun 2010 - 16:00","Group F","Mbombela Stadium","Nelspruit","Italy",1,1,"New Zealand",NA,38229,1,1,"BATRES Carlos (GUA)","LEAL Leonel (CRC)","PASTRANA Carlos (HON)",249722,300061482,"ITA","NZL","Tie",1
"737",2010,"20 Jun 2010 - 20:30","Group G","Soccer City Stadium","Johannesburg","Brazil",3,1,"Cote d'Ivore",NA,84455,1,0,"St�phane LANNOY (FRA)","DANSAULT Eric (FRA)","UGO Laurent (FRA)",249722,300061488,"BRA","CIV","BRA",3
"738",2010,"21 Jun 2010 - 13:30","Group G","Cape Town Stadium","Cape Town","Portugal",7,0,"Korea DPR",NA,63644,1,0,"POZO Pablo (CHI)","BASUALTO Patricio (CHI)","MONDRIA Francisco (CHI)",249722,300061487,"POR","PRK","POR",7
"739",2010,"21 Jun 2010 - 16:00","Group H","Port Elizabeth Stadium","Nelson Mandela Bay/Port Elizabeth","Chile",1,0,"Switzerland",NA,34872,0,0,"AL GHAMDI Khalil (KSA)","KAMRANIFAR Hassan (IRN)","AL MARZOUQI Saleh (UAE)",249722,300061493,"CHI","SUI","CHI",1
"740",2010,"21 Jun 2010 - 20:30","Group H","Ellis Park Stadium","Johannesburg","Spain",2,0,"Honduras",NA,54386,1,0,"NISHIMURA Yuichi (JPN)","SAGARA Toru (JPN)","JEONG Hae Sang (KOR)",249722,300061494,"ESP","HON","ESP",2
"741",2010,"22 Jun 2010 - 16:00","Group A","Royal Bafokeng Sports Palace","Phokeng","Mexico",0,1,"Uruguay",NA,33425,0,1,"KASSAI Viktor (HUN)","EROS Gabor (HUN)","VAMOS Tibor (HUN)",249722,300061450,"MEX","URU","URU",1
